split,sample_name,source_path,source_dataset,scenario,category,map_id,difficulty_raw,difficulty,ood_family,split_hint
calib,sample_000000.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000001.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
calib,sample_000001.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000003.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
calib,sample_000002.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000017.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
calib,sample_000003.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000024.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
calib,sample_000004.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000025.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
calib,sample_000005.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000035.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
calib,sample_000006.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000036.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
calib,sample_000007.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000039.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
calib,sample_000008.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000049.npz,csm,csm_city_street,U,packed_001,simple,easy,1,csm:test
calib,sample_000009.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000053.npz,csm,csm_city_street,U,packed_001,simple,easy,1,csm:test
calib,sample_000010.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000053.npz,csm,csm_city_street,U,packed_001,medium,medium,1,csm:train
calib,sample_000011.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000057.npz,csm,csm_city_street,U,packed_001,medium,medium,1,csm:train
calib,sample_000012.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000058.npz,csm,csm_city_street,U,packed_001,medium,medium,1,csm:train
calib,sample_000013.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000063.npz,csm,csm_city_street,U,packed_001,medium,medium,1,csm:test
calib,sample_000014.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000065.npz,csm,csm_city_street,U,packed_001,medium,medium,1,csm:test
