split,sample_name,source_path,source_dataset,scenario,category,map_id,difficulty_raw,difficulty,ood_family,ood_family_name,split_hint
calib,sample_000000.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000000.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000001.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000000.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000002.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000002.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000003.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000004.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000004.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000009.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000005.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000012.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000006.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000013.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000007.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000015.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000008.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000016.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000009.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000019.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000010.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000021.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000011.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000022.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000012.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000023.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000013.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000026.npz,csm,csm_city_street,U,packed_000,simple,easy,0,,csm:train
calib,sample_000014.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000027.npz,csm,csm_city_street,U,packed_000,hard,hard,0,,csm:test
calib,sample_000015.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000031.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000016.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000032.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000017.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000033.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000018.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000035.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000019.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000036.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:train
calib,sample_000020.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000037.npz,csm,csm_city_street,U,packed_000,hard,hard,0,,csm:train
calib,sample_000021.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000038.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000022.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000039.npz,csm,csm_city_street,U,packed_000,medium,medium,0,,csm:test
calib,sample_000023.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000045.npz,csm,csm_city_street,U,packed_001,hard,hard,0,,csm:test
calib,sample_000024.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000047.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:test
calib,sample_000025.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000048.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:train
calib,sample_000026.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000048.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:test
calib,sample_000027.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000049.npz,csm,csm_city_street,U,packed_001,simple,easy,0,,csm:test
calib,sample_000028.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000050.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:train
calib,sample_000029.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000051.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:test
calib,sample_000030.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000051.npz,csm,csm_city_street,U,packed_001,medium,medium,0,,csm:train
