split,sample_name,source_path,source_dataset,scenario,category,map_id,difficulty_raw,difficulty,ood_family,ood_family_name,split_hint
train,sample_000000.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000200.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000001.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000202.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000002.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000208.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000003.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000209.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000004.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000210.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000005.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000212.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000006.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000213.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000007.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000218.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000008.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000219.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000009.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000220.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000010.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000223.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000011.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000224.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000012.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000225.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000013.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000226.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000014.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000227.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000015.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000228.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000016.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000229.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000017.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000233.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000018.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000236.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000019.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000238.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000020.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000239.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000021.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000241.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000022.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000245.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000023.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000246.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000024.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000248.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000025.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000255.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000026.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000260.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000027.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000261.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000028.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000269.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000029.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000271.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000030.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000272.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000031.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000274.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000032.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000276.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000033.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000277.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000034.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000282.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000035.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000285.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000036.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000287.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000037.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000289.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
train,sample_000038.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/mp/test/sample_000295.npz,mp,alternating_gaps,U,mp_alternating_gaps,medium,medium,0,,mp:test
