sample_name,path,scenario,difficulty,source,map_id,success,expansions,runtime_ms,path_length,split
sample_000000.npz,data/benchmark/rs_root_hard_v2/dev/sample_000000.npz,flange,very_hard,parasol_public_anchor,flange_0.95_q000,1,10673.0,2528.407394886017,33.439988266462194,calib_train
sample_000001.npz,data/benchmark/rs_root_hard_v2/dev/sample_000001.npz,flange,hard,parasol_public_anchor,flange_1.0_q000,0,20000.0,4658.151652896777,nan,
sample_000002.npz,data/benchmark/rs_root_hard_v2/dev/sample_000002.npz,narrow_passage,hard,parasol_public_anchor,ZigZag_q000,0,20000.0,4648.299753898755,nan,
sample_000003.npz,data/benchmark/rs_root_hard_v2/dev/sample_000003.npz,parasol_misc,hard,parasol_public_anchor,SimpleObstacle_Obstacle2_q000,1,1006.0,237.4979890882969,28.78875961092524,calib_val
sample_000004.npz,data/benchmark/rs_root_hard_v2/dev/sample_000004.npz,parasol_misc,hard,parasol_public_anchor,SimpleObstacle_Obstacle1_q000,1,1152.0,274.8993670102209,26.664926243243293,calib_train
sample_000005.npz,data/benchmark/rs_root_hard_v2/dev/sample_000005.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q000_t0001,0,20000.0,5072.180725168437,nan,
sample_000006.npz,data/benchmark/rs_root_hard_v2/dev/sample_000006.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q001_t0002,0,20000.0,5022.644009906799,nan,
sample_000007.npz,data/benchmark/rs_root_hard_v2/dev/sample_000007.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q002_t0003,0,20000.0,5128.828927874565,nan,
sample_000008.npz,data/benchmark/rs_root_hard_v2/dev/sample_000008.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q003_t0004,0,20000.0,5004.446300212294,nan,
sample_000009.npz,data/benchmark/rs_root_hard_v2/dev/sample_000009.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q004_t0005,0,20000.0,5081.942396005616,nan,
sample_000010.npz,data/benchmark/rs_root_hard_v2/dev/sample_000010.npz,bug_trap,hard,rs_root_hard_v2_synth,bug_trap_dev_s7_q005_t0006,0,20000.0,5056.528943125159,nan,
sample_000011.npz,data/benchmark/rs_root_hard_v2/dev/sample_000011.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q000_t0001,0,20000.0,5136.380944866687,nan,
sample_000012.npz,data/benchmark/rs_root_hard_v2/dev/sample_000012.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q001_t0002,1,19328.0,4940.309260971844,48.1295683671438,calib_val
sample_000013.npz,data/benchmark/rs_root_hard_v2/dev/sample_000013.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q002_t0003,0,0.0,0.0,nan,
sample_000014.npz,data/benchmark/rs_root_hard_v2/dev/sample_000014.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q003_t0004,0,20000.0,5186.792601132765,nan,
sample_000015.npz,data/benchmark/rs_root_hard_v2/dev/sample_000015.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q004_t0005,0,20000.0,5137.828669976443,nan,
sample_000016.npz,data/benchmark/rs_root_hard_v2/dev/sample_000016.npz,alpha_puzzle,hard,rs_root_hard_v2_synth,alpha_puzzle_dev_s7_q005_t0006,0,20000.0,5162.260588025674,nan,
sample_000017.npz,data/benchmark/rs_root_hard_v2/dev/sample_000017.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q000_t0001,0,20000.0,4963.269866071641,nan,
sample_000018.npz,data/benchmark/rs_root_hard_v2/dev/sample_000018.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q001_t0002,0,20000.0,5030.236242106184,nan,
sample_000019.npz,data/benchmark/rs_root_hard_v2/dev/sample_000019.npz,flange,hard,rs_root_hard_v2_synth,flange_dev_s7_q002_t0003,0,0.0,0.0,nan,
