experiment,dataset,method,num_seeds,mean_success,std_success,mean_time_ms,std_time_ms,mean_expansions,std_expansions
exp1_mp,mp,A*,5,1.0,0.0,0.3246964,0.003430076719258604,137.9425,0.0
exp1_mp,mp,Theta*,5,1.0,0.0,0.7662244,0.0028367793886730263,96.95875,0.0
exp1_mp,mp,Neural A*,5,1.0,0.0,1.658624,0.019695470583359975,300.0675,0.0
exp1_mp,mp,VIN,5,1.0,0.0,3.264067,0.02361100113294649,809.14875,0.0
exp1_standard,mp+csm,A*,5,1.0,0.0,0.48547019999999996,0.005080464909828637,206.035,0.0
exp1_standard,mp+csm,Theta*,5,1.0,0.0,1.2279946,0.006749790055994299,133.8975,0.0
exp1_standard,mp+csm,Neural A*,5,1.0,0.0,2.2729474,0.02461910504669073,478.105,0.0
exp1_standard,mp+csm,VIN,5,0.998333,0.0,8.531312400000001,0.08148884860396582,2528.155259,0.0
exp2_csm,csm,A*,5,1.0,0.0,0.8070178,0.008553640114009952,342.22,0.0
exp2_csm,csm,Theta*,5,1.0,0.0,2.1515356,0.015975176299496675,207.775,0.0
exp2_csm,csm,Neural A*,5,1.0,0.0,3.5015934,0.03577530156826064,834.18,0.0
exp2_csm,csm,VIN,5,0.9949999999999999,0.0,19.118741,0.20137199775415573,5983.444724,0.0
exp4_public_kinodynamic,parasol,Hybrid A* (RS),5,1.0,0.0,2686.2636414,57.35734146506752,12370.0,0.0
exp4_public_kinodynamic,parasol,Kinodynamic BIT*,5,1.0,0.0,2837.946275,135.13981575396434,300.0,0.0
exp4_public_kinodynamic,parasol,Kinodynamic RRT*,5,1.0,0.0,3456.0298834,158.37514304900898,300.0,0.0
