metric,mean,std,min,max
exp1_standard_time_ms_ours,0.4782466,0.005293132938062302,0.473074,0.486933
exp1_standard_success_ours,1.0,0.0,1.0,1.0
exp2_time_ms_ours,0.7980652,0.008872913399780254,0.789946,0.812867
exp2_success_ours,1.0,0.0,1.0,1.0
exp3_dE_full_vs_nores_pct,-1.5579807760711426,0.0,-1.5579807760711426,-1.5579807760711426
exp3_full_success,1.0,0.0,1.0,1.0
exp4_dE_ours_vs_hybrid_pct,-1.5579807760711426,0.0,-1.5579807760711426,-1.5579807760711426
exp4_ours_success,1.0,0.0,1.0,1.0
exp3_dE_drift_abs_pct,7.879052876150157,0.0,7.879052876150157,7.879052876150157
exp4_dE_drift_abs_pct,0.01503431248159437,0.0,0.01503431248159437,0.01503431248159437
mixed_strict_og_improve_vs_p5_pct,0.0,0.0,0.0,0.0
mixed_strict_hard_improve_vs_p5_pct,0.0,0.0,0.0,0.0
mixed_strict_latency_extra_vs_p5_ms,0.0,0.0,0.0,0.0
mixed_target_og_improve_vs_p5_pct,15.985719665328745,0.7054385105411982,15.130848142083266,17.00253435960847
mixed_target_hard_improve_vs_p5_pct,376.1440327255302,241.8658885155443,186.71823119755376,737.5850443859119
mixed_target_latency_extra_vs_p5_ms,0.009901232318952813,0.0010636839788040926,0.00873603230704445,0.010684225578895923
