phase,metric,strict,legacy_diag,strict_minus_legacy
phase9,pooled_mean_delta_j,-0.13039966509573622,-0.10433312904635325,-0.02606653604938297
phase9,p_value_bootstrap_gt0,1.0,1.0,0.0
phase9,ci95_low,-0.1313554116737866,-0.11338942665165178,-0.01796598502213481
phase9,ci95_high,-0.12946884769791928,-0.09487870216848439,-0.03459014552943489
phase13,j_improve_vs_strongest_baseline_mean,-0.008407315460803397,-0.0527797779580347,0.0443724624972313
phase13,pooled_p_value_bootstrap_gt0,1.0,1.0,0.0
phase13,pooled_ci95_low,-0.00846888845870226,-0.057509086405476625,0.04904019794677437
phase13,pooled_ci95_high,-0.008347190676490155,-0.04772820219111578,0.03938101151462563
phase22,j_improve_vs_best_direct_mean_pct,-0.8518749408391053,-6.61472914246016,5.762854201621055
phase22,pooled_p_value_bootstrap_gt0,1.0,1.0,0.0
phase22,best_direct_baseline,cdt_worstcase_j_v1,cdt_worstcase_j_v1,
