seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-0.15381288407112279,-0.16941721132019097
11,csm,900,-0.15381288407112279,-0.16941721132019097
19,csm,900,-0.15381288407112279,-0.16941721132019097
23,csm,900,-0.15381288407112279,-0.16941721132019097
31,csm,900,-0.15381288407112279,-0.16941721132019097
7,mp,2300,-0.12126331528663781,-0.16458508064660582
11,mp,2300,-0.1216102946793449,-0.16458508064660582
19,mp,2300,-0.12089576322268374,-0.1645709377340192
23,mp,2300,-0.12162040003731141,-0.16458508064660582
31,mp,2300,-0.1212219661088798,-0.1645709377340192
7,parasol,18,-0.11961814000189659,-0.16958004157608997
11,parasol,18,-0.11961814000189659,-0.16958004157608997
19,parasol,18,-0.11961814000189677,-0.16958004157609335
23,parasol,18,-0.11961814000189659,-0.16958004157608997
31,parasol,18,-0.11961814000189659,-0.16958004157608997
