seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,0.0,0.0,0.0,0.0,0.0
11,csm,900,0.0,0.0,0.0,0.0,0.0
19,csm,900,0.0,0.0,0.0,0.0,0.0
23,csm,900,0.0,0.0,0.0,0.0,0.0
31,csm,900,0.0,0.0,0.0,0.0,0.0
7,mp,2300,0.0,0.0,0.0,0.0,0.0
11,mp,2300,0.0,0.0,0.0,0.0,0.0
19,mp,2300,0.0,0.0,0.0,0.0,0.0
23,mp,2300,0.0,0.0,0.0,0.0,0.0
31,mp,2300,0.0,0.0,0.0,0.0,0.0
7,parasol,18,0.0,0.0,0.0,0.0,0.0
11,parasol,18,0.0,0.0,0.0,0.0,0.0
19,parasol,18,0.0,0.0,0.0,0.0,0.0
23,parasol,18,0.0,0.0,0.0,0.0,0.0
31,parasol,18,0.0,0.0,0.0,0.0,0.0
