seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,-1.8829794502359707,-1.0963609940528047,-1.7291665661648479,0.15381288407112279,1.0
11,csm,900,-1.7077656124169285,-0.17456223483418384,-1.5539527283458057,0.15381288407112279,1.0
19,csm,900,-1.726241238370088,-0.8211494199641293,-1.5724283542989654,0.15381288407112279,1.0
23,csm,900,-1.736826000814354,-0.1747322129486633,-1.5830131167432313,0.15381288407112279,1.0
31,csm,900,-1.8773926657555668,-1.0246606734529253,-1.7235797816844438,0.15381288407112279,1.0
7,mp,2300,-3.523292170958782,-0.16677556822546968,-3.4023964077360986,0.12089576322268375,1.0
11,mp,2300,-3.623494571717905,-0.16659492774711943,-3.5025988084952213,0.12089576322268375,1.0
19,mp,2300,-3.428532154359783,-0.16626169491958226,-3.3076363911370996,0.12089576322268375,1.0
23,mp,2300,-3.333032714416935,-0.16713185756596333,-3.2121369511942515,0.12089576322268375,1.0
31,mp,2300,-3.496454695560002,-0.1666177550532092,-3.3755589323373183,0.12089576322268375,1.0
7,parasol,18,-32.95127177647947,-0.1706756843552455,-32.83165363647757,0.11961814000189713,1.0
11,parasol,18,-32.95127177647947,-0.1706756843552455,-32.83165363647757,0.11961814000189713,1.0
19,parasol,18,-52.79997744175251,-0.17263857800467197,-52.680359301750606,0.11961814000189713,1.0
23,parasol,18,-46.15423454168895,-0.1706756843552455,-46.034616401687046,0.11961814000189713,1.0
31,parasol,18,-39.163134759396044,-0.1706756843552455,-39.04351661939414,0.11961814000189713,1.0
