seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,-0.07204580531544874,-0.16945818841446217,0.08176707875567409,0.15381288407112279,1.0
11,csm,900,-0.12071810348677277,-0.16955014281370512,0.033094780584350066,0.15381288407112279,1.0
19,csm,900,-0.06063020081385648,-0.1692804087773734,0.09318268325726632,0.15381288407112279,1.0
23,csm,900,-0.1047081361172443,-0.16961226636371063,0.04910474795387851,0.15381288407112279,1.0
31,csm,900,-0.2003856629805698,-0.16974279542969656,-0.04657277890944701,0.15381288407112279,1.0
7,mp,2300,3.212682769975978,-0.1547582267395481,3.333578533198662,0.12089576322268375,1.0
11,mp,2300,2.962578678056496,-0.15398176725591317,3.0834744412791806,0.12089576322268375,1.0
19,mp,2300,2.4330997711538345,-0.1502218747936609,2.5539955343765186,0.12089576322268375,1.0
23,mp,2300,3.2040574906059716,-0.15484427269511747,3.324953253828655,0.12089576322268375,1.0
31,mp,2300,1.8756436454954224,-0.15980867270904636,1.996539408718106,0.12089576322268375,1.0
7,parasol,18,27.427822667180934,-0.13664860918377286,27.54744080718283,0.11961814000189713,1.0
11,parasol,18,27.35340368927947,-0.13664860918377286,27.473021829281368,0.11961814000189713,1.0
19,parasol,18,20.430048671408436,-0.16958004157609335,20.549666811410333,0.11961814000189713,1.0
23,parasol,18,27.427822667180934,-0.13664860918377286,27.54744080718283,0.11961814000189713,1.0
31,parasol,18,27.35340368927947,-0.13664860918377286,27.473021829281368,0.11961814000189713,1.0
