seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,-0.11645053467917589,-0.15683700431294656,0.0,0.11645053467917589,1.0
11,csm,900,-0.10916539609009368,-0.15645022488575214,0.0,0.10916539609009368,1.0
19,csm,900,-0.1138815163936954,-0.15670837284571018,0.0,0.1138815163936954,1.0
23,csm,900,-0.11195554375521576,-0.15654325348566123,0.0,0.11195554375521576,1.0
31,csm,900,-0.1140273140257174,-0.1566507607919736,0.0,0.1140273140257174,1.0
7,mp,2300,-0.036005087471648226,0.0,-0.0020831886079524277,0.0339218988636958,1.0
11,mp,2300,-0.03319475417000157,0.0,-0.00041988674028789567,0.03277486742971368,1.0
19,mp,2300,-0.03497801063882651,0.0,-0.0003327602612519196,0.034645250377574585,1.0
23,mp,2300,-0.03343874734871952,0.0,0.0007940916569256501,0.03423283900564517,1.0
31,mp,2300,-0.030698780956878002,0.0,0.0029858527678822116,0.03368463372476021,1.0
7,parasol,18,-0.0627940228691103,0.0,0.0,0.06279402286911029,1.0
11,parasol,18,-0.046085284281874056,0.0,0.0,0.04608528428187406,1.0
19,parasol,18,-0.05357174505245093,0.0,0.0,0.05357174505245091,1.0
23,parasol,18,-0.05504731975077992,0.0,0.0,0.05504731975077993,1.0
31,parasol,18,-0.06253378052135679,0.0,0.0,0.06253378052135677,1.0
