seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-7.580206533698867e-05,0.0
11,csm,900,-7.580206533698867e-05,0.0
19,csm,900,-7.580206533698867e-05,0.0
23,csm,900,-7.580206533698867e-05,0.0
31,csm,900,-7.580206533698867e-05,0.0
7,mp,2300,0.05802134649382325,0.0
11,mp,2300,0.04982147783770643,0.0
19,mp,2300,0.048583100643517625,0.0
23,mp,2300,0.04433824319634827,0.0
31,mp,2300,0.04279016214596429,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
