seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,-0.12512296282270788,0.0,-0.12512296282270788,0.0,0.0
11,csm,900,0.14791319908518957,0.0,0.14791319908518957,0.0,0.0
19,csm,900,-0.08438927622996152,0.0,-0.08438927622996152,0.0,0.0
23,csm,900,-0.09193095966914322,0.0,-0.09193095966914322,0.0,0.0
31,csm,900,-0.12351127524431679,0.0,-0.12351127524431679,0.0,0.0
7,mp,2300,-0.08114611227711407,0.0,-0.08114611227711407,0.0,0.0
11,mp,2300,-0.029421137369317882,0.0,-0.029421137369317882,0.0,0.0
19,mp,2300,-0.04449922064446845,0.0,-0.04449922064446845,0.0,0.0
23,mp,2300,-0.05217727993469507,0.0,-0.05217727993469507,0.0,0.0
31,mp,2300,-0.05772180804599585,0.0,-0.05772180804599585,0.0,0.0
7,parasol,18,1.3554441450670838,0.0,1.3554441450670838,0.0,0.0
11,parasol,18,-0.08455099508146308,0.0,-0.08455099508146308,0.0,0.0
19,parasol,18,2.3234890405776665,0.0,2.3234890405776665,0.0,0.0
23,parasol,18,0.13996154710908282,0.0,0.13996154710908282,0.0,0.0
31,parasol,18,1.7284092344777324,0.0,1.7284092344777324,0.0,0.0
