seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,0.009262914281373925,0.0,0.009262914281373925,0.0,0.0
11,csm,900,0.04113239838649005,0.0,0.04113239838649005,0.0,0.0
19,csm,900,-0.04254890829057911,0.0,-0.04254890829057911,0.0,0.0
23,csm,900,-0.04380059572293128,0.0,-0.04380059572293128,0.0,0.0
31,csm,900,-0.05463398479608729,0.0,-0.05463398479608729,0.0,0.0
7,mp,2300,-0.0345555778790166,0.0,-0.0345555778790166,0.0,0.0
11,mp,2300,-0.022338509212022982,0.0,-0.022338509212022982,0.0,0.0
19,mp,2300,-0.007119195292524902,0.0,-0.007119195292524902,0.0,0.0
23,mp,2300,-0.01995443618026358,0.0,-0.01995443618026358,0.0,0.0
31,mp,2300,-0.013913450677841239,0.0,-0.013913450677841239,0.0,0.0
7,parasol,18,-1.1645324808806063,0.0,-1.1645324808806063,0.0,0.0
11,parasol,18,-1.1691972344346655,0.0,-1.1691972344346655,0.0,0.0
19,parasol,18,-1.1645324808806063,0.0,-1.1645324808806063,0.0,0.0
23,parasol,18,-1.1723498865197106,0.0,-1.1723498865197106,0.0,0.0
31,parasol,18,-1.178085996112798,0.0,-1.178085996112798,0.0,0.0
