experiment,dataset,method,num_seeds,mean_success,std_success,mean_time_ms,std_time_ms,mean_expansions,std_expansions
exp1_mp,mp,A*,5,1.0,0.0,0.3246964,0.0034300767192586,137.9425,0.0
exp1_mp,mp,Theta*,5,1.0,0.0,0.7662244,0.002836779388673,96.95875,0.0
exp1_mp,mp,Neural A*,5,1.0,0.0,1.658624,0.0196954705833599,300.0675,0.0
exp1_mp,mp,VIN,5,1.0,0.0,3.264067,0.0236110011329464,809.14875,0.0
exp1_standard,mp+csm,A*,5,1.0,0.0,0.4854701999999999,0.0050804649098286,206.035,0.0
exp1_standard,mp+csm,Theta*,5,1.0,0.0,1.2279946,0.0067497900559942,133.8975,0.0
exp1_standard,mp+csm,Neural A*,5,1.0,0.0,2.2729474,0.0246191050466907,478.105,0.0
exp1_standard,mp+csm,VIN,5,0.998333,0.0,8.531312400000001,0.0814888486039658,2528.155259,0.0
exp2_csm,csm,A*,5,1.0,0.0,0.8070178,0.0085536401140099,342.22,0.0
exp2_csm,csm,Theta*,5,1.0,0.0,2.1515356,0.0159751762994966,207.775,0.0
exp2_csm,csm,Neural A*,5,1.0,0.0,3.5015934,0.0357753015682606,834.18,0.0
exp2_csm,csm,VIN,5,0.995,0.0,19.118741,0.2013719977541557,5983.444724,0.0
exp4_public_kinodynamic,parasol,Hybrid A* (RS),5,1.0,0.0,2686.2636414,57.35734146506752,12370.0,0.0
exp4_public_kinodynamic,parasol,Kinodynamic BIT*,5,1.0,0.0,2837.946275,135.13981575396434,300.0,0.0
exp4_public_kinodynamic,parasol,Kinodynamic RRT*,5,1.0,0.0,3456.0298834,158.37514304900898,300.0,0.0
