seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,0.0,0.0,0.0,0.0,0.7977777777777778
11,csm,900,0.0,0.0,0.0,0.0,0.8122222222222222
19,csm,900,0.0,0.0,0.0,0.0,0.7722222222222223
23,csm,900,-4.7838637304249174e-05,0.0,-4.7838637304249174e-05,0.0,0.8166666666666667
31,csm,900,-8.622234833698949e-05,0.0,-8.622234833698949e-05,0.0,0.8011111111111111
7,mp,2300,0.0,0.0,0.0,0.0,0.19478260869565217
11,mp,2300,0.0,0.0,0.0,0.0,0.19260869565217392
19,mp,2300,0.0,0.0,0.0,0.0,0.19391304347826088
23,mp,2300,0.0020287351104523437,0.0,0.0020287351104523437,0.0,0.20478260869565218
31,mp,2300,0.0024495230426368393,0.0,0.0024495230426368393,0.0,0.2165217391304348
7,parasol,18,0.0,0.0,0.0,0.0,0.3888888888888889
11,parasol,18,0.0,0.0,0.0,0.0,0.5
19,parasol,18,0.0,0.0,0.0,0.0,0.3888888888888889
23,parasol,18,0.0,0.0,0.0,0.0,0.5
31,parasol,18,0.0,0.0,0.0,0.0,0.5555555555555556
