seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,0.09153665013747005,0.0
11,csm,900,0.043985396565135615,0.0
19,csm,900,0.04868832602388418,0.0
23,csm,900,0.03678731454824257,0.0
31,csm,900,0.017317185195325602,0.0
7,mp,2300,-0.007582537013061517,0.0
11,mp,2300,0.03980595849251641,0.0
19,mp,2300,0.04316831172028586,0.0
23,mp,2300,0.03254973140516619,0.0
31,mp,2300,0.020276554994983074,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
