seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-0.16841379498670533,-0.16906940620159483
11,csm,900,-0.1533994027652838,-0.16896178230856235
19,csm,900,-0.14552843010892608,-0.1690639538898333
23,csm,900,-0.15557340026191727,-0.1691016374917754
31,csm,900,-0.16622911661588397,-0.16904199224898006
7,mp,2300,-0.06435136905235454,-0.16529301146722764
11,mp,2300,-0.1205707700444491,-0.16412853652264897
19,mp,2300,-0.07940013209271694,-0.16513650302743849
23,mp,2300,-0.07405053377255724,-0.16522545021279095
31,mp,2300,-0.07804181406840616,-0.1651746861424146
7,parasol,18,-0.11929658134295444,-0.1691241748425662
11,parasol,18,-0.11929658134295444,-0.1691241748425662
19,parasol,18,-0.11929658134295434,-0.16912417484256537
23,parasol,18,-0.11929658134295444,-0.1691241748425662
31,parasol,18,-0.11929658134295434,-0.16912417484256537
